"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
5.585728480E-1,3.827257156E-1,-2.751150131E-1,3.311872482E-1,5.760661744E-1
5.636082490E-1,2.773852944E-1,-3.066349030E-1,3.511991501E-1,5.425019892E-1
5.686436490E-1,1.556234360E-1,-3.951749802E-1,3.712129593E-1,5.640753318E-1
5.737095670E-1,3.403139114E-2,-4.789190292E-1,3.392953873E-1,5.879140515E-1
5.787449680E-1,-5.715185404E-2,-5.624437332E-1,3.009042740E-1,6.404316275E-1
5.837803680E-1,-1.731299758E-1,-5.793166161E-1,2.157583237E-1,6.419761556E-1
5.888462860E-1,-2.688578367E-1,-6.679520607E-1,7.733917236E-2,7.241725204E-1
5.938816860E-1,-3.163226247E-1,-7.537484169E-1,-9.756565094E-2,8.232349210E-1
5.989170870E-1,-3.543741107E-1,-8.435425758E-1,-2.092170715E-1,9.385717184E-1
6.039524870E-1,-3.570085168E-1,-8.966951370E-1,-3.152904510E-1,1.015344926E0
6.090184050E-1,-3.436678052E-1,-9.774808884E-1,-4.064769745E-1,1.113013916E0
6.140538060E-1,-2.979635000E-1,-1.028360367E0,-4.760179520E-1,1.171708318E0
6.190892060E-1,-2.155814171E-1,-1.127852440E0,-4.221153259E-1,1.223400107E0
6.241551240E-1,-1.087962389E-1,-1.256669998E0,-3.810262680E-1,1.317663509E0
6.291905240E-1,-2.744686604E-2,-1.305291653E0,-3.907070160E-1,1.362788172E0
6.342259250E-1,1.048138142E-1,-1.390852451E0,-3.794431686E-1,1.445487321E0
6.392918430E-1,2.216079831E-1,-1.475271225E0,-2.879447937E-1,1.519357591E0
6.443272430E-1,3.205388188E-1,-1.575167656E0,-1.975698471E-1,1.619546888E0
6.493931610E-1,3.729909062E-1,-1.631381989E0,-1.413002014E-1,1.679432986E0
6.544285610E-1,4.672688842E-1,-1.713176250E0,-1.022214890E-1,1.778696800E0
6.594639620E-1,5.298466086E-1,-1.801753044E0,-1.582946777E-1,1.884703867E0
6.645298800E-1,5.756996870E-1,-1.882900715E0,-1.733903885E-1,1.976565066E0
6.695652800E-1,5.933794975E-1,-1.942287922E0,-1.978263855E-1,2.040518777E0
6.746006810E-1,6.309341788E-1,-1.972959042E0,-2.862062454E-1,2.091066554E0
6.796360810E-1,6.175593138E-1,-1.975109100E0,-4.595031738E-1,2.119806272E0
6.847019990E-1,6.540697217E-1,-2.005985737E0,-5.555620193E-1,2.181842142E0
6.897373990E-1,6.760007143E-1,-2.015206814E0,-6.536035538E-1,2.223788001E0
6.947728000E-1,6.764786243E-1,-1.974237442E0,-8.202962875E-1,2.242347610E0
6.998387180E-1,7.244943976E-1,-1.987728119E0,-9.008932114E-1,2.299470327E0
7.048741180E-1,7.360568047E-1,-1.981122017E0,-9.747447968E-1,2.327391562E0
7.099400360E-1,7.610313296E-1,-1.928103924E0,-9.304599762E-1,2.272115576E0
7.149754360E-1,8.244279027E-1,-1.935741425E0,-8.093299866E-1,2.254282870E0
7.200108370E-1,8.444049358E-1,-1.808670521E0,-6.427640915E-1,2.097010831E0
7.250767550E-1,8.304722905E-1,-1.709701061E0,-4.142789841E-1,1.945350616E0
7.301121550E-1,8.131918907E-1,-1.534399986E0,-2.047615051E-1,1.748597050E0
7.351475560E-1,7.642026544E-1,-1.371694565E0,1.713657379E-2,1.570301034E0
7.402134730E-1,6.956645250E-1,-1.150689125E0,1.804199219E-1,1.356681961E0
7.452488740E-1,6.099106669E-1,-9.266271591E-1,2.761592865E-1,1.143194150E0
7.502842740E-1,4.739125371E-1,-6.925454140E-1,3.072986603E-1,8.936692396E-1
7.553196750E-1,2.979648113E-1,-3.890800476E-1,2.766752243E-1,5.627748146E-1
7.603855930E-1,1.541724205E-1,-6.873703003E-2,4.008769989E-1,4.349669905E-1
7.654209930E-1,2.788722515E-2,2.874360085E-1,5.432748795E-1,6.152599052E-1
7.704563930E-1,-2.161258459E-2,5.909767151E-1,6.088657379E-1,8.487862324E-1
7.755223110E-1,-3.731191158E-3,8.969826698E-1,6.147594452E-1,1.087437818E0
7.805577120E-1,-4.870873690E-2,1.167301178E0,6.541109085E-1,1.338964399E0
7.856236300E-1,-6.057345867E-2,1.428576469E0,6.813497543E-1,1.583899416E0
7.906590300E-1,-8.704787493E-2,1.723808765E0,7.463989258E-1,1.880480085E0
7.956944310E-1,-1.803864837E-1,1.995688915E0,9.085311890E-1,2.200168732E0
8.007298310E-1,-2.573208213E-1,2.208769321E0,1.031524658E0,2.451309658E0
8.057957490E-1,-2.895754576E-1,2.339555740E0,1.011131287E0,2.565104576E0
8.108311490E-1,-2.371796072E-1,2.452413559E0,1.086407661E0,2.692743589E0
8.158970670E-1,-2.740911841E-1,2.523585796E0,1.083195686E0,2.759877560E0
8.209019500E-1,-2.006545961E-1,2.605863094E0,1.085141182E0,2.829896839E0
8.259678680E-1,-1.392477155E-1,2.603831768E0,1.156646729E0,2.852571026E0
8.310337860E-1,-9.535959363E-2,2.620346069E0,1.137868881E0,2.858330381E0
8.360691860E-1,-7.631602883E-2,2.716804981E0,1.046313286E0,2.912322945E0
8.411045870E-1,-2.178850770E-1,2.811803341E0,1.034706116E0,3.004052044E0
8.461399870E-1,-3.081097007E-1,2.846013546E0,1.062057495E0,3.053308175E0
8.512059050E-1,-4.122097492E-1,2.874384880E0,1.094923973E0,3.103363308E0
8.562413060E-1,-5.621446371E-1,2.977805138E0,1.138136864E0,3.237079788E0
8.612767060E-1,-6.847966313E-1,3.088881493E0,1.177577019E0,3.375918088E0
8.663121060E-1,-8.803281188E-1,3.147857189E0,1.215871811E0,3.487452758E0
8.713780240E-1,-1.043745279E0,3.128454208E0,1.336600304E0,3.558529235E0
8.764134250E-1,-1.018600583E0,3.088295937E0,1.396521568E0,3.539122975E0
8.814793430E-1,-1.039967299E0,3.057828903E0,1.520298958E0,3.569756085E0
8.865147430E-1,-9.598851800E-1,2.937131405E0,1.488519669E0,3.429841287E0
8.915806610E-1,-8.831343651E-1,2.785819054E0,1.385811806E0,3.234376055E0
8.966160610E-1,-7.516238689E-1,2.666147232E0,1.302895546E0,3.061178908E0
9.016514620E-1,-6.199675798E-1,2.532794476E0,1.173036575E0,2.859269568E0
9.066868620E-1,-4.828474224E-1,2.421667099E0,9.630947113E-1,2.650502706E0
9.117527800E-1,-3.419083059E-1,2.259153843E0,6.876373291E-1,2.386110323E0
9.167881810E-1,-2.028803229E-1,2.082116604E0,3.867502213E-1,2.127427017E0
9.218235810E-1,-1.297152638E-1,1.907786846E0,1.197180748E-1,1.915935572E0
9.268589810E-1,-1.573618650E-1,1.862878323E0,-1.069970131E-1,1.872572232E0
9.319248990E-1,-1.399253607E-1,1.706362724E0,-1.485271454E-1,1.718520633E0
9.369603000E-1,-1.655722260E-1,1.561153889E0,-1.614122391E-1,1.578185521E0
9.420262180E-1,-1.536329985E-1,1.424597740E0,-1.789512634E-1,1.443989395E0
9.470616180E-1,-1.607590914E-1,1.337519169E0,-1.277546883E-1,1.353189666E0
9.520970180E-1,-1.466836333E-1,1.320662022E0,-6.015014648E-2,1.330143715E0
9.571629360E-1,-4.265546799E-2,1.220988750E0,-3.080463409E-2,1.222121902E0
9.621983370E-1,3.037056923E-1,1.089104652E0,2.463054657E-2,1.130925619E0
9.672337370E-1,7.099974751E-1,9.675312042E-1,-2.447700500E-2,1.200338356E0
9.722996550E-1,1.057385564E0,8.819732666E-1,-2.963018417E-1,1.408451581E0
9.773350560E-1,1.519678116E0,6.634225845E-1,-6.472725868E-1,1.780031714E0
9.823704560E-1,1.985828757E0,4.696984291E-1,-9.699792862E-1,2.259422998E0
9.874363740E-1,2.332732201E0,2.937135696E-1,-1.324457645E0,2.698535758E0
9.924717740E-1,2.631545544E0,9.339952469E-2,-1.714093685E0,3.141953625E0
9.975376920E-1,2.809332132E0,-8.105659485E-2,-2.005612373E0,3.452737782E0
1.002573093E0,3.051501989E0,-3.624987602E-1,-2.229115486E0,3.796317373E0
1.007608493E0,3.172309399E0,-5.596742630E-1,-2.401990891E0,4.018251167E0
1.012643893E0,3.160678387E0,-7.704472542E-1,-2.446234226E0,4.070324155E0
1.017709811E0,3.143403053E0,-1.009211540E0,-2.452990055E0,4.112985643E0
1.022745212E0,3.091274738E0,-1.280355453E0,-2.422578812E0,4.130880983E0
1.027811130E0,2.973135471E0,-1.479342461E0,-2.276093006E0,4.025989073E0
1.032846530E0,2.808968544E0,-1.573021889E0,-2.073597431E0,3.829426648E0
1.037881931E0,2.702276707E0,-1.695574284E0,-1.833836079E0,3.679704650E0
1.042917331E0,2.758223534E0,-1.894842148E0,-1.570656300E0,3.696645106E0
1.047983249E0,2.962470293E0,-2.123461723E0,-1.395185947E0,3.902802039E0
1.053018649E0,3.312698364E0,-2.436134338E0,-1.209069252E0,4.286090226E0
1.058054050E0,3.731576443E0,-2.689896584E0,-1.135780334E0,4.738164555E0
1.063119968E0,4.154130459E0,-2.923550606E0,-1.098127365E0,5.197098395E0
1.068155368E0,4.555589676E0,-3.098867416E0,-1.138944626E0,5.626150675E0
1.073190768E0,4.767385960E0,-3.228118896E0,-1.293615341E0,5.901030516E0
1.078256686E0,4.907521248E0,-3.402140141E0,-1.256615162E0,6.102245816E0
1.083292087E0,4.835014820E0,-3.649145126E0,-1.250554085E0,6.185265878E0
1.088327487E0,4.641376495E0,-3.830672264E0,-1.191804886E0,6.134885871E0
1.093393405E0,4.324479580E0,-4.018813133E0,-9.754438400E-1,5.983600365E0
1.098428806E0,3.996278286E0,-4.216273308E0,-7.995619774E-1,5.864000350E0
1.103494723E0,3.650027037E0,-4.399589539E0,-6.945390701E-1,5.758599656E0
1.108530124E0,3.385782242E0,-4.616694927E0,-6.073956490E-1,5.757284335E0
1.113565524E0,3.077324152E0,-4.896431923E0,-5.281467438E-1,5.807228986E0
1.118631442E0,2.904193163E0,-5.298460960E0,-6.184978485E-1,6.073760455E0
1.123666843E0,2.709130049E0,-5.667113304E0,-6.992259026E-1,6.320164214E0
1.128702243E0,2.406909466E0,-5.907156467E0,-8.395810127E-1,6.433708649E0
1.133737643E0,2.126938581E0,-6.090420723E0,-1.099218845E0,6.544109900E0
1.138803561E0,1.884727240E0,-6.340714931E0,-1.435235023E0,6.768808033E0
1.143838962E0,1.723750830E0,-6.623495579E0,-1.741122723E0,7.062118587E0
1.148874362E0,1.470530510E0,-6.795000553E0,-2.091681480E0,7.260139387E0
1.153940280E0,1.124385715E0,-6.893195152E0,-2.468561649E0,7.407710797E0
1.158975681E0,8.057945371E-1,-6.995825291E0,-2.849336147E0,7.596683014E0
1.164011081E0,5.036644340E-1,-7.135681629E0,-3.060694695E0,7.780712190E0
1.169076999E0,2.034755945E-1,-7.195250511E0,-3.192191601E0,7.874205957E0
1.174112399E0,-2.128400803E-1,-7.130994320E0,-3.380941391E0,7.894754308E0
1.179147800E0,-5.733393431E-1,-7.066928387E0,-3.591357708E0,7.947832724E0
1.184213718E0,-1.030397892E0,-7.021477222E0,-3.890800953E0,8.093280809E0
1.189249118E0,-1.352446556E0,-7.067759514E0,-3.607252598E0,8.049509770E0
1.194315036E0,-1.772505283E0,-7.012367249E0,-3.031052113E0,7.842343165E0
1.199350436E0,-2.525760889E0,-6.868320942E0,-2.505541801E0,7.735052705E0
