"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.804062150E-1,-4.869073331E-1,7.497351170E-1,-2.869901657E-1,9.389061997E-1
6.854416150E-1,-4.905959070E-1,6.677165031E-1,-9.021282196E-2,8.334674713E-1
6.904770160E-1,-4.409960508E-1,5.744643211E-1,6.475353241E-2,7.271037017E-1
6.955429340E-1,-3.962421417E-1,5.481901169E-1,1.783218384E-1,6.995133431E-1
7.005783340E-1,-3.256422281E-1,4.930324554E-1,2.984113693E-1,6.619465297E-1
7.056442520E-1,-2.618171871E-1,4.875743389E-1,2.491149902E-1,6.069062974E-1
7.106796530E-1,-1.853289008E-1,4.577457905E-1,2.621908188E-1,5.591261357E-1
7.157150530E-1,-8.389449120E-2,4.130918980E-1,3.086471558E-1,5.224425984E-1
7.207504530E-1,-5.696812272E-2,3.965909481E-1,2.931404114E-1,4.964484343E-1
7.257858540E-1,-2.736201882E-2,4.008765221E-1,2.161235809E-1,4.562456227E-1
7.308517720E-1,-3.514882922E-2,4.163613319E-1,2.800302505E-1,5.030001393E-1
7.359176900E-1,-7.081162930E-2,4.332559109E-1,2.794933319E-1,5.204243401E-1
7.409836080E-1,-7.771384716E-2,4.731695652E-1,2.886352539E-1,5.596777548E-1
7.459884900E-1,-2.600300312E-2,5.027012825E-1,3.525581360E-1,6.145583576E-1
7.510544080E-1,-2.375951409E-2,5.026264191E-1,3.069419861E-1,5.894159944E-1
7.560898090E-1,-5.190220475E-2,5.349969864E-1,1.929416656E-1,5.710885226E-1
7.611252090E-1,-9.102728963E-2,5.284614563E-1,3.239059448E-2,5.372212104E-1
7.661606100E-1,-1.001284719E-1,5.689418316E-1,-1.388034821E-1,5.941270279E-1
7.712265280E-1,-6.739470363E-2,6.016926765E-1,-3.324966431E-1,6.907460754E-1
7.762924460E-1,-1.086384058E-1,6.296377182E-1,-4.773712158E-1,7.975771042E-1
7.812973280E-1,-1.540409625E-1,6.319198608E-1,-6.048021317E-1,8.881649324E-1
7.863327290E-1,-2.633285820E-1,6.588799953E-1,-6.507406235E-1,9.627710784E-1
