"Time (s)","Latitude","Longitude","Altitude (m)","Altitude WGS84 (m)","Speed (m/s)","Direction (°)","Distance (km)","Horizontal Accuracy (m)","Vertical Accuracy (m)","Satellites"
8.457829346E1,6.506666530E1,2.549102781E1,1.175180274E1,2.923645020E1,3.100000024E-1,1.986999969E2,2.147945386E-2,1.072000027E1,6.000000000E0,2.200000000E1
8.557774580E1,6.506665701E1,2.549104367E1,1.165256442E1,2.913720703E1,0.000000000E0,NaN,2.227800560E-2,9.648000717E0,6.000000000E0,2.300000000E1
8.657943455E1,6.506665220E1,2.549105632E1,1.111936452E1,2.860400391E1,0.000000000E0,NaN,2.268457727E-2,9.648000717E0,6.000000000E0,2.200000000E1
8.758048049E1,6.506664879E1,2.549105945E1,1.083530850E1,2.831994629E1,2.700000107E-1,1.561999969E2,2.350425196E-2,9.648000717E0,6.000000000E0,2.000000000E1
8.859857059E1,6.506664467E1,2.549107395E1,1.421562174E1,3.170025635E1,0.000000000E0,NaN,2.391994039E-2,9.648000717E0,4.000000000E0,2.000000000E1
8.959262241E1,6.506664298E1,2.549108186E1,1.277458323E1,3.025921631E1,0.000000000E0,NaN,2.424045521E-2,9.648000717E0,4.000000000E0,2.000000000E1
9.058031637E1,6.506664159E1,2.549108785E1,1.258116403E1,3.006579590E1,0.000000000E0,NaN,2.466011985E-2,9.648000717E0,4.000000000E0,2.000000000E1
9.157672882E1,6.506664111E1,2.549107897E1,1.376310896E1,3.124774170E1,0.000000000E0,NaN,2.521350525E-2,9.648000717E0,4.000000000E0,1.900000000E1
9.257935674E1,6.506664096E1,2.549106717E1,1.393101536E1,3.141564941E1,0.000000000E0,NaN,2.560667786E-2,9.648000717E0,4.000000000E0,1.800000000E1
9.357735132E1,6.506663889E1,2.549106037E1,1.254789763E1,3.003253174E1,0.000000000E0,NaN,2.585971111E-2,9.648000717E0,4.000000000E0,2.000000000E1
9.457481726E1,6.506663756E1,2.549105599E1,1.303038051E1,3.051501465E1,0.000000000E0,NaN,2.633652933E-2,9.648000717E0,4.000000000E0,2.200000000E1
9.557923689E1,6.506663858E1,2.549104611E1,1.312821835E1,3.061285400E1,0.000000000E0,NaN,2.656770105E-2,9.648000717E0,4.000000000E0,2.300000000E1
9.657820408E1,6.506663722E1,2.549104238E1,1.298667788E1,3.047131348E1,0.000000000E0,NaN,2.688831621E-2,9.648000717E0,4.000000000E0,2.300000000E1
9.758356965E1,6.506663528E1,2.549103732E1,1.250230299E1,2.998693848E1,0.000000000E0,NaN,2.708744839E-2,9.648000717E0,4.000000000E0,2.400000000E1
9.858311861E1,6.506663349E1,2.549103719E1,1.241117813E1,2.989581299E1,0.000000000E0,NaN,2.721627478E-2,9.648000717E0,4.000000000E0,2.400000000E1
9.958196876E1,6.506663235E1,2.549103768E1,1.255107118E1,3.003570557E1,0.000000000E0,NaN,2.731587198E-2,9.648000717E0,4.000000000E0,2.400000000E1
1.005806753E2,6.506663150E1,2.549103835E1,1.284593240E1,3.033056641E1,0.000000000E0,NaN,2.739315263E-2,9.648000717E0,4.000000000E0,2.400000000E1
1.015767301E2,6.506663099E1,2.549103723E1,1.255552718E1,3.004016113E1,0.000000000E0,NaN,2.746954484E-2,9.648000717E0,4.000000000E0,2.500000000E1
